stop1,stop2,bus_name
manzoor_colony,100_ft_road,U-1
100_ft_road,azam_basti,U-1
azam_basti,kalapul,U-1
kalapul,jinnah_hospital,U-1
jinnah_hospital,luck_star_hotel,U-1
luck_star_hotel,mansfield_street,U-1
mansfield_street,empress_market,U-1
empress_market,regal_chowk,U-1
regal_chowk,tibbat_centre,U-1
tibbat_centre,m.a_Jinnah_road,U-1
m.a_Jinnah_road,jama_cloth_market,U-1
jama_cloth_market,city_court,U-1
city_court,juna_market,U-1
juna_market,lee_market,U-1
lee_market,kakri_ground,U-1
kakri_ground,masan_road,U-1
masan_road,agra_taj_colony,U-1
agra_taj_colony,rasheedabad,U-1
korangi_100_quarter,korangi_no_5,D-10
korangi_no_5,landhi_no_6,D-10
landhi_no_6,landhi_no_5,D-10
landhi_no_5,landhi_no_4,D-10
landhi_no_4,landhi_no_3,D-10
landhi_no_3,landhi_no_2,D-10
landhi_no_2,landhi_no_1,D-10
landhi_no_1,dawood_chowrangi,D-10
dawood_chowrangi,quaidabad,D-10
quaidabad,malir_city,D-10
malir_city,malir_halt,D-10
malir_halt,star_gate,D-10
star_gate,natha_khan_goth,D-10
natha_khan_goth,drigh_road,D-10
drigh_road,rashid_minhas_road,D-10
rashid_minhas_road,drive-in-cinema,D-10
drive-in-cinema,jauhar_mor,D-10
jauhar_mor,NIPA_chowrangi,D-10
NIPA_chowrangi,gulshan_chowrangi,D-10
gulshan_chowrangi,sohrab_goth,D-10
sohrab_goth,power_house,D-10
power_house,godhra,D-10
godhra,new_Karachi_industrial_area,D-10
new_Karachi_industrial_area,saba_cinema,D-10
saba_cinema,new_Karachi_no_5,D-10
new_Karachi_no_5,allahwali_masjid,D-10
allahwali_masjid,4-k_chowrangi,D-10
4-k_chowrangi,kda_stop,D-10
kda_stop,maraqba_hall,D-10
maraqba_hall,khuda_ki_basti,D-10
khuda_ki_basti,lerp_colony,D-10
lerp_colony,taiser_town,D-10
mianwali_colony,qasba_colony,F-16
qasba_colony,banaras_chowk,F-16
banaras_chowk,abdullah_college,F-16
abdullah_college,paposh_nagar,F-16
paposh_nagar,abbasi_shaheed_hospital,F-16
abbasi_shaheed_hospital,nazimabad_no_7,F-16
