node,latit,long
manzoor_colony,24.84588,67.0873347
100_ft_road,24.8546842,67.0207055
azam_basti,24.8481043,67.0746834
kalapul,24.8480594,67.0485377
jinnah_hospital,24.8517423,67.0471346
luck_star_hotel,24.87104337,67.00544724
mansfield_street,24.8648812,67.0293905
empress_market,24.8620983,67.0294872
regal_chowk,24.8604633,67.0244318
tibbat_centre,24.86288486,67.02198731
m.a_Jinnah_road,24.8750228,67.0372144
jama_cloth_market,24.85878235,67.0144873
city_court,24.8558392,67.0054719
juna_market,24.856877,67.0021881
lee_market,24.860696,67.0005244
kakri_ground,24.85625375,66.99868385
masan_road,24.82079328,66.99635811
agra_taj_colony,24.8714202,66.9826114
korangi_100_quarter,24.83458358,67.07197837
korangi_no_5,24.8344317,67.0726736
landhi_no_6,24.83015626,67.1702861
landhi_no_5,24.83650489,67.17956781
landhi_no_4,24.83827073,67.18183607
landhi_no_3,24.83949497,67.19156528
landhi_no_2,24.84254917,67.19548195
landhi_no_1,24.84375926,67.19866265
dawood_chowrangi,24.85068001,67.20714519
quaidabad,24.8551282,67.2117445
malir_city,24.8735315,67.1957866
malir_halt,24.88473238,67.17530796
star_gate,24.8869874,67.1557304
natha_khan_goth,24.882777,67.1357614
drigh_road,24.8866864,67.1258404
rashid_minhas_road,24.9380391,67.085045
drive-in-cinema,24.90125318,67.11141068
jauhar_mor,24.9100772,67.1144009
NIPA_chowrangi,24.917822,67.0971368
gulshan_chowrangi,24.9246131,67.0912849
sohrab_goth,24.9436845,67.0843456
power_house,24.9529226,67.0774852
godhra,24.9706631,67.0802834
new_Karachi_industrial_area,24.830092,67.1014188
saba_cinema,24.98674855,67.08578867
new_Karachi_no_5,24.9725357,67.0669523
allahwali_masjid,24.8748104,67.1957168
4-k_chowrangi,24.9278248,67.1124585
kda_stop,25.01886377,67.06385519
maraqba_hall,25.02043012,67.07251484
khuda_ki_basti,25.0326153,67.0937426
lerp_colony,25.06657666,67.10834246
mianwali_colony,24.88068049,67.00832269
qasba_colony,24.9456648,67.0265919
banaras_chowk,24.9325016,67.0153877
abdullah_college,24.85674345,66.99166857
paposh_nagar,24.92435225,67.01990575
abbasi_shaheed_hospital,24.92053005,67.02977986
nazimabad_no_7,24.9161806,67.0345881
mujahid_colony,24.8419306,67.0287909
karimabad,24.9195535,67.0556807
liaquatabad_no_10,24.9029771,67.0386279
teen_hatti,24.8937682,67.0437051
mazar-e-quaid,24.87549,67.04085
khudadad_colony,24.8701962,67.0440312
nursery,24.9163873,67.1224255
akhter_colony,24.8340477,67.0742769
qayyumabad,24.8293018,67.0809166
korangi_no_1,24.8223732,67.13282462
korangi_no_2,24.83869365,67.12041382
korangi_no_3,24.83465038,67.09980991
korangi_no_4,24.82747891,67.15797424
korangi_market_no_6,24.82740985,67.1703876
degree_college,24.8987911,67.2057727
100_quarter,24.8512599,66.99886871
gul_ahmed_textile_mills,24.8380709,67.2187781
labour_square,24.8384436,67.1485025
zia_ul_haq_colony,24.94579074,67.00109337
mominabad,24.9038413,67.2207176
bijli_nagar,24.93169635,66.99833091
orangi_no_4,24.9461056,67.0128813
orangi_no_5,24.94093003,67.00120971
metro_cinema,24.9358484,67.0094257
petrol_pump,24.91049797,67.0317775
gurumandir,24.88140425,67.03925328
numaish,24.8733627,67.0359938
shahrah-e-quaideen,24.8651138,67.0553967
defence_society,24.9594098,67.1888088
chamra_chowrangi,24.83880293,67.120853
korangi_industrial_area,24.841706,67.1339881
bilal_colony,24.8478476,67.1342808
bismillah_stop,24.83162005,67.14451077
dhobi_ghat,24.87787915,67.01249693
coast_guard,24.86889805,67.02589479
korangi_crossing,24.81718886,67.10777973
defence_view,24.83483,67.0760721
baloch_colony,24.87176,67.0797974
tariq_road,24.8676607,67.0573009
shaheed-e-millat_road,24.8864065,67.0541672
jail_road,24.8891661,67.0515129
purani_sabzi_mandi,24.89882325,67.06557071
hassan_square,24.9015402,67.0738387
shahrah_waliullah_road,24.85976513,66.99121863
shafiq_mor,24.85644702,67.0001716
godhra_chowk,24.9668625,67.07866381
industrial_area,24.86347665,67.01064067
godhra_camp,24.98034183,67.0561587
saudabad,24.8891859,67.1935454
malir_jinnah_square,24.89130787,67.19821904
17_bus_stop,24.82024263,67.18037116
babar_market,24.8586062,67.0038439
fareed_colony,24.9335079,66.9816856
naiabadi,24.93078255,66.95144676
rasheedabad,24.9834401,67.0472181
board_office,24.85388415,67.02427281
hyderi,24.93622,67.0439858
chowrangi,24.8526989,67.01530021
ziauddin_hospital,24.8163998,67.0033913
moosa_colony,24.92013,67.0489994
gharibabad,24.9088666,67.0572828
clifton,24.8180162,67.0070534
mohata_palace,24.81437941,67.03263778
2_talwar,24.8210342,67.03414246
3_talwar,24.8338179,67.033666
clifton_bridge,24.8409996,67.0327061
bagh_jinnah,24.8955866,67.1785595
shaheen_complex,24.85081475,67.01951015
lucky_star,24.857065,67.0331655
Saddar,24.85964895,67.03081575
garden,24.8457029,67.0234024
lasbela_chowk,24.8873906,67.0330192
old_golimar,24.88553616,67.02093822
bara_board,24.90336919,67.01741617
habib_bank,24.9365406,67.0656617
valika,24.9272234,67.0155671
site_police_station,24.9068299,66.9968733
hub_river_road,24.93284598,66.94017054
sawat_colony,25.0011839,67.0298139
police_training_school,24.9165319,67.0629332
surjani_town,25.0770299,67.073576
salim_centre,24.92739453,67.06265382
nagan_chowrangi,24.9650421,67.0668664
sakhi_hasan,24.9557798,67.0547588
nazimabad,24.905865,67.0307183
golimar,24.9011071,67.0304545
ranchore_line,24.8617595,67.0131894
kmc_workshop,24.8635315,67.009908
baba_urdu_road,24.9024963,67.0502744
khaliq-u-zaman_road,24.83568554,67.03696005
khayaban-e-jami,24.8279566,67.0567042
khayaban-e-iqbal,24.7734899,67.0630016
hatim_alvi_road,24.8146629,67.0313429
26th_street,24.8157977,67.0381097
abdullah_shah_ghazi_road,24.81077366,67.0308951
khayaban-e-shanshee,24.90818873,67.10632312
moach_goth,24.9213204,66.94344325
shershah,24.8840043,66.9930042
pankha_hotel,24.88393211,66.99248645
mirza_adam_khan_road,24.8795462,66.9955743
agra_taj_hanif_manzil,24.87128745,66.98118327
kharadar,24.8500499,66.9943642
ismail_jamat_khana,24.85183825,66.99235714
tower,24.8487511,66.996677
keamari,24.80023885,66.97168461
kpt_ground,24.8215565,66.98692066
shirin_jinnah_colony,24.81768184,66.99454568
ittehad_town,24.9653497,66.9594937
dawood_goth,24.9481475,66.9467232
naval_colony,24.9421646,66.9348258
gulbai,24.8826765,67.0310748
khyaban_shamsher,24.80824051,67.04300435
saba_avenue,24.8056183,67.0313078
azam_square,24.9309768,67.205441
new_town_police_station,24.8888121,67.0604742
