"StopName","InDegree","OutDegree","TotalDegree","InCloseness","OutCloseness","Betweenness","Eigenvector","PageRank"
"manzoor_colony",0,2,2,NA,0.115096481271283,0,0,0.00030973388685318
"100_ft_road",1,1,2,1,0.117428637734973,0.000635879672196383,0,0.000441370788765782
"azam_basti",1,2,3,0.666666666666667,0.132789902708388,0.00218440949061283,5.51669620090161e-18,0.000684899057304095
"kalapul",6,4,10,0.1617326269866,0.151807228915663,0.0378926936065322,0.0327303449381193,0.00558779615860594
"jinnah_hospital",6,9,15,0.173346693386774,0.171486900306227,0.113709000379139,0.107092237675662,0.00626803887985309
"luck_star_hotel",1,1,2,0.147947548460661,0.112701252236136,0.000249787952341183,0.0207484303773117,0.000901715336615698
"mansfield_street",2,1,3,0.161330432079577,0.126856279889252,0.00216918015325339,0.0882648573833221,0.0018665481075157
"empress_market",2,4,6,0.154879140555058,0.145161290322581,0.00625556886963468,0.0860074915128248,0.0025803117330543
"regal_chowk",3,3,6,0.155482324745357,0.131386861313869,0.00811594377430486,0.103840120019167,0.00230383956299113
"tibbat_centre",2,2,4,0.154925373134328,0.14968814968815,0.00184310395090465,0.111006526493733,0.00154050130139131
"m.a_Jinnah_road",11,9,20,0.188248095756257,0.175793512382281,0.106501557780073,0.434827288528124,0.00836847724808109
"jama_cloth_market",4,4,8,0.163722397476341,0.144785981039931,0.00549209785777168,0.153607585256882,0.00323214747426111
"city_court",3,2,5,0.160681114551084,0.130909090909091,0.00510442907079953,0.114692333656753,0.00276925083607781
"juna_market",2,1,3,0.144689155282966,0.129032258064516,0.004072955795674,0.0309222351330163,0.00240198887829919
"lee_market",3,6,9,0.137265273737107,0.147930730848254,0.0143865671769006,0.0100049581531132,0.00426996201924453
"kakri_ground",1,1,2,0.120866325104797,0.124721603563474,0.00141528441839404,0.00193839611696678,0.000914645172911731
"masan_road",2,2,4,0.12987987987988,0.14225232853514,0.0052185560710754,0.0109561377950699,0.00164158152350247
"agra_taj_colony",2,2,4,0.130140421263791,0.156133828996283,0.0133257773001324,0.0126871418582178,0.00180699908364221
"korangi_100_quarter",0,2,2,NA,0.134990644212777,0,0,0.00030973388685318
"korangi_no_5",7,7,14,0.144126631491252,0.155268022181146,0.0583745221907376,0.00389712768827171,0.0046842056415984
"landhi_no_6",4,5,9,0.142308746915273,0.15,0.0283137132231758,0.0050699157513081,0.00314644034650696
"landhi_no_5",3,3,6,0.127801034228023,0.15784528656436,0.0119820294527013,0.00158833290622039,0.0020475591546617
"landhi_no_4",3,3,6,0.13917940466613,0.130401034928849,0.0118922290587882,0.00300637434504663,0.00226536608863648
"landhi_no_3",1,1,2,0.122290292177191,0.109636719599739,0.00165688593930828,0.00058246564027592,0.000951587611965283
"landhi_no_2",1,1,2,0.109056524479933,0.123016841591408,0.0016107987423316,0.000112848961294863,0.00111858335702367
"landhi_no_1",3,2,5,0.130107796440211,0.140116763969975,0.00516207995841093,0.00238165142905822,0.00244160054970617
"dawood_chowrangi",6,7,13,0.144931583356604,0.150537634408602,0.054640504990944,0.00711003894835193,0.00532144900394709
"quaidabad",8,7,15,0.147779043280182,0.147153284671533,0.0588524623976034,0.0183328479028117,0.00641871167136077
"malir_city",2,2,4,0.129008202833706,0.134903640256959,0.00397158980346371,0.00357951040359425,0.00163197799158652
"malir_halt",6,4,10,0.151532846715328,0.148716435526704,0.0410488790015532,0.0592542178056689,0.00392510856985397
"star_gate",3,2,5,0.132465543644717,0.156619018023617,0.0276774348792204,0.0229283873305013,0.00313758364949716
